שם מוסד,רשות מקומית,פיקוח,מגזר,מחזור סיום,מספר נבחנים,ממוצע ציון סופי,סמל מוסד,מחוז תקשוב
"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,41,85.05,248179,צפון
"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,44,81.59,248179,צפון
"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2024,44,76.41,248179,צפון
מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,30,89.03,248625,צפון
מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,29,91.55,248625,צפון
מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,32,89.16,248625,צפון
מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2024,29,86.72,248625,צפון
מקיף גליל מערבי,מעלה יוסף,ממלכתי,יהודי,2021,39,83,260489,חינוך התישבותי
מקיף גליל מערבי,מעלה יוסף,ממלכתי,יהודי,2022,17,91.82,260489,חינוך התישבותי
מקיף גליל מערבי,מעלה יוסף,ממלכתי,יהודי,2023,22,82.64,260489,חינוך התישבותי
מקיף גליל מערבי,מעלה יוסף,ממלכתי,יהודי,2024,25,85.32,260489,חינוך התישבותי
"מקיף דתי אמי""ת קנדי",עכו,ממלכתי דתי,יהודי,2022,15,91.87,240036,צפון
"מקיף דתי אמי""ת קנדי",עכו,ממלכתי דתי,יהודי,2023,11,89.09,240036,צפון
"מקיף דתי אמי""ת קנדי",עכו,ממלכתי דתי,יהודי,2024,12,94.5,240036,צפון
מקיף סולם צור,מטה אשר,ממלכתי,יהודי,2021,16,90.56,260331,חינוך התישבותי
מקיף סולם צור,מטה אשר,ממלכתי,יהודי,2022,24,91.63,260331,חינוך התישבותי
מקיף סולם צור,מטה אשר,ממלכתי,יהודי,2023,17,85.41,260331,חינוך התישבותי
מקיף סולם צור,מטה אשר,ממלכתי,יהודי,2024,15,89.2,260331,חינוך התישבותי
"מקיף ע""ש יני",כפר יאסיף,ממלכתי,ערבי,2021,42,93.48,248013,צפון
"מקיף ע""ש יני",כפר יאסיף,ממלכתי,ערבי,2022,45,89.18,248013,צפון
"מקיף ע""ש יני",כפר יאסיף,ממלכתי,ערבי,2023,46,85.39,248013,צפון
"מקיף ע""ש יני",כפר יאסיף,ממלכתי,ערבי,2024,53,86.38,248013,צפון
מקיף ערבי,עכו,ממלכתי,ערבי,2021,16,92.13,278028,צפון
מקיף ערבי,עכו,ממלכתי,ערבי,2022,12,84.5,278028,צפון
מקיף ערבי,עכו,ממלכתי,ערבי,2023,23,84,278028,צפון
מקיף ערבי,עכו,ממלכתי,ערבי,2024,11,84.09,278028,צפון
מקיף שש - שנתי,חורפיש,ממלכתי,דרוזי,2021,24,89.46,249193,צפון
מקיף שש - שנתי,חורפיש,ממלכתי,דרוזי,2022,24,85.5,249193,צפון
מקיף שש - שנתי,חורפיש,ממלכתי,דרוזי,2023,16,79.38,249193,צפון
מקיף שש - שנתי,חורפיש,ממלכתי,דרוזי,2024,25,85.2,249193,צפון
מקיף תרשיחא,מעלות-תרשיחא,ממלכתי,ערבי,2021,51,94.55,248062,צפון
מקיף תרשיחא,מעלות-תרשיחא,ממלכתי,ערבי,2022,43,90.09,248062,צפון
מקיף תרשיחא,מעלות-תרשיחא,ממלכתי,ערבי,2023,49,88.04,248062,צפון
מקיף תרשיחא,מעלות-תרשיחא,ממלכתי,ערבי,2024,30,91.57,248062,צפון
נוטרדאם,מעיליא,ממלכתי,ערבי,2021,55,93.69,248823,צפון
נוטרדאם,מעיליא,ממלכתי,ערבי,2022,40,92.92,248823,צפון
נוטרדאם,מעיליא,ממלכתי,ערבי,2023,38,92.5,248823,צפון
נוטרדאם,מעיליא,ממלכתי,ערבי,2024,49,91.12,248823,צפון
עמל כסרא סמיע,כסרא-סמיע,ממלכתי,דרוזי,2021,26,95.69,248336,צפון
עמל כסרא סמיע,כסרא-סמיע,ממלכתי,דרוזי,2022,24,92.88,248336,צפון
עמל כסרא סמיע,כסרא-סמיע,ממלכתי,דרוזי,2023,25,76.52,248336,צפון
עמל כסרא סמיע,כסרא-סמיע,ממלכתי,דרוזי,2024,23,81.61,248336,צפון
שמריהו בירן,עכו,ממלכתי,יהודי,2021,25,89.48,770859,צפון
שמריהו בירן,עכו,ממלכתי,יהודי,2022,24,87.04,770859,צפון
שמריהו בירן,עכו,ממלכתי,יהודי,2023,28,83.11,770859,צפון
שמריהו בירן,עכו,ממלכתי,יהודי,2024,41,82.37,770859,צפון
